Breed,Size
chihuahua,1
Affenpinscher,2
Cairn Terrier,2
German Spitz,2
Spitz,2
Kleinspitz,2
Havanese,2
Japanese Chin,2
Maltese,2
Norfolk Terrier,2
Pekingese,2
Pomeranian,2
Scottish Terrier,2
Shih Tzu,2
Skye Terrier,2
Silky Terrier,2
Toy Poodle,2
Toy Fox Terrier,2
West Highland,2
White Terrier,2
Yorkshire,2
Terrier,2
Papillon,3
Parson Russell Terrier,3
Pembroke Welsh Corgi,3
Petit Bassett Griffon Vendeen,3
Podengo Pequeno,3
Pug,3
Russian Tsvetnaya Bolonka,3
Schipperke,3
Sealyham Terrier,3
Sussex Spaniel,3
Swedish Vallhund,3
Tibetan Spaniel,3
Toy Manchester Terrier,3
Volpino,3
Welsh Terrier,3
Wirehaired Fox Terrier,3
American Cocker Spaniel,3
American Eskimo Dog,3
Australian Terrier,3
Basset Hound,3
Bichon Frise,3
Bolognese,3
Border Terrier,3
Boston Terrier,3
Brazilian Terrier,3
Brussels Griffon,3
Bulldog ,3
Bull Terrier,3
Cardigan Welsh Corgi,3
Cavalier King Charles Spaniel,3
Cesky Terrier,3
Chinese Crested,3
Coton de Tulear,3
Dachshund,3
Drever,3
Dandie Dinmont Terrier,3
Dutch Smoushond,3
English Toy Spaniel ,3
French Bulldog,3
Mittelspitz,3
Icelandic Sheepdog,3
Italian Greyhound,3
Jack Russell Terrier,3
Lakeland Terrier ,3
Lhasa ApsoLowchen,3
Miniature Bull Terrier,3
Miniature Pinscher,3
Miniature Poodle,3
Miniature Schnauzer,3
Soft Coated Wheaten Terrier,4
Staffordshire Bull Terrier,4
Standard Schnauzer,4
Swedish Lapphund,4
Tibetan Terrier,4
Welsh Springer Spaniel,4
Alpine Dachsbracke,4
Aidi ,4
American Eskimo Dog,4
American Staffordshire Terrier,4
American Water Spaniel,4
Austrian Shorthaired Pinscher,4
Basenji,4
Beagle,4
Bedlington Terrier,4
Boykin Spaniel,4
Brittany Spaniel,4
Chinese Sharpei,4
Chow Chow,4
Clumber Spaniel,4
Dutch Schapendoes ,4
English Cocker Spaniel,4
Field Spaniel,4
Finnish Lapphund,4
Finnish Spitz,4
German Hunt Terrier,4
German Pinscher,4
Glen of Imaal Terrier,4
Irish Terrier ,4
Keeshond,4
Kerry Blue Terrier,4
Kooikerhondje,4
Lagotto Romagnolo,4
New Guinea Singing Dog ,4
Norrbottenspets,4
Norwegian Buhund,4
Norwegian Lundehund,4
Manchester Terrier,4
Miniature Australian Shepherd,4
Mudi,4
Puli,4
Shetland Sheepdog,4
Shiba Inu,4
Smooth Fox Terrier,4
American Pitbull Terrier,5
Pit Bull,5
Australian Cattle Dog,5
Australian Kelpie,5
Australian Shepherd,5
Australian Stumpy Tail Cattle Dog,5
Austrian Black and Tan Hound,5
Barbet ,5
Bearded Collie,5
Border Collie,5
Bull Terrier,5
Canaan Dog,5
Catalonian Sheepdog,5
Cirneco dell' Etna,5
Dalmation,5
English Springer Spaniel,5
German Spitz- Giant (Grosspitz),5
Gotland Hound,5
Harrier,5
