ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.01,0.0,0.0,0.08,0.91
2,0.0,0.22,0.73,0.03,0.02
3,0.190582232893,0.02,0.02,0.404801920768,0.364615846339
4,0.265,0.01,0.04,0.26,0.425
5,0.307142857143,0.0,0.0,0.411428571429,0.281428571429
6,0.416666666667,0.0,0.02,0.473333333333,0.09
7,0.035,0.0,0.02,0.335,0.61
8,1.0,0.0,0.0,0.0,0.0
9,0.79,0.0,0.02,0.07,0.12
10,0.532,0.0,0.0,0.372,0.096
11,0.545333333333,0.0,0.04,0.307333333333,0.107333333333
12,0.04,0.0,0.0,0.2725,0.6875
13,1.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,1.0
15,0.98,0.0,0.0,0.00333333333333,0.0166666666667
16,0.585555555556,0.0,0.01,0.29,0.114444444444
17,0.197047619048,0.0,0.02,0.529952380952,0.253
18,0.1275,0.0,0.0,0.8625,0.01
19,0.0,0.0,0.0,0.0,1.0
20,0.09,0.03,0.06,0.105,0.715
21,0.654583333333,0.0,0.0,0.300833333333,0.0445833333333
22,0.0,0.0,0.0,0.0,1.0
23,0.87,0.0,0.0,0.08,0.05
24,0.01,0.0,0.01,0.01,0.97
25,0.5,0.0,0.0,0.166666666667,0.333333333333
26,0.4,0.0,0.0,0.0,0.6
27,0.867028985507,0.0,0.0,0.05,0.0829710144928
28,0.0766666666667,0.025,0.035,0.09,0.773333333333
29,0.155126315789,0.0,0.02,0.608389473684,0.216484210526
30,0.96,0.0,0.01,0.025,0.005
31,0.0,0.215,0.705,0.04,0.04
32,0.9675,0.0,0.0,0.0,0.0325
33,0.25,0.0,0.0,0.125,0.625
34,0.715,0.0,0.01,0.245,0.03
35,0.266060606061,0.02,0.07,0.04,0.603939393939
36,0.0,0.0,1.0,0.0,0.0
37,0.12,0.02,0.13,0.23,0.5
38,0.6857,0.0,0.0,0.1749,0.1394
39,0.17,0.0,0.02,0.512,0.298
40,0.251142857143,0.0,0.07,0.07,0.608857142857
41,0.08,0.01,0.03,0.35,0.53
42,0.0,0.0,0.0,0.0,1.0
43,0.560975609756,0.0,0.0,0.121951219512,0.317073170732
